OverallQual,GarageCars,FullBath,TotRmsAbvGrd,MSZoning,Neighborhood,Condition1,Condition2,HouseStyle,ExterQual,BsmtQual,BsmtCond,KitchenQual,GarageType,GarageFinish,PoolQC,GrLivArea,GarageArea,TotalBsmtSF,1stFlrSF,YearBuilt,BsmtFinSF1,WoodDeckSF,2ndFlrSF,OpenPorchSF,LotArea,BsmtUnfSF,SalePrice
6,2,2,8,6,9,3,3,4,4,4,3,4,4,2,0,2267,390,1010,1010,2002,0,120,1257,46,8068,1010,200000
6,2,2,6,6,17,5,3,4,3,4,3,3,2,2,0,1552,434,713,811,1975,550,209,741,208,11475,163,179900
4,2,1,4,6,0,3,3,1,3,3,3,3,6,3,0,864,576,864,864,1971,524,216,0,0,10500,160,97000
10,3,2,8,6,16,3,3,1,5,5,3,5,2,1,0,2392,968,2392,2392,2003,56,248,0,105,13472,2336,386250
5,1,2,6,8,3,3,3,4,3,3,3,3,6,3,0,1302,280,630,630,1971,0,0,672,0,1680,630,112000
7,3,2,9,6,14,3,3,4,4,4,3,4,2,2,0,2520,721,1203,1214,1995,565,224,1306,114,9950,638,290000
6,1,1,5,8,3,3,3,4,3,3,3,3,6,3,0,987,280,483,483,1970,321,0,504,0,1869,162,106000
5,1,1,5,6,20,2,3,1,3,3,3,3,6,3,0,912,336,912,912,1967,842,0,0,0,8521,70,125000
7,2,2,7,6,1,3,3,1,4,4,3,4,2,1,0,1555,430,1373,1555,2005,16,143,0,20,3182,1357,192500
6,1,1,6,6,0,3,3,1,3,3,3,3,2,2,0,1194,312,1194,1194,1959,0,0,0,0,8760,1194,148000
8,3,2,9,6,14,3,3,4,4,4,3,5,2,1,0,2794,810,1462,1490,1995,689,0,1304,146,15138,773,403000
6,1,1,5,8,3,3,3,4,3,3,3,3,2,3,0,987,288,483,483,1972,0,0,504,0,1680,483,94500
5,1,1,5,6,6,3,3,1,3,3,4,3,2,3,0,894,308,894,894,1976,182,365,0,0,10650,0,128200
6,2,2,8,6,9,3,3,4,4,4,3,4,4,1,0,1960,440,860,860,2002,625,288,1100,48,7851,235,216500
6,1,1,5,8,3,3,3,4,3,3,3,3,6,3,0,987,264,483,483,1971,358,0,504,0,1680,125,89500
7,2,2,6,6,6,3,3,1,4,4,3,4,2,2,0,1414,494,1414,1414,2004,24,132,0,105,8773,1390,185500
7,2,2,7,6,21,8,3,4,4,4,3,4,2,2,0,1744,457,996,1014,1993,402,370,730,70,9453,594,194500
8,3,2,7,6,16,3,3,1,5,5,3,4,2,1,0,1694,818,1694,1694,2007,0,168,0,228,12030,1694,318000
6,1,1,7,6,8,3,3,2,3,3,2,3,6,3,0,1487,220,735,798,1945,94,0,689,140,8741,641,113000
8,2,2,7,3,22,3,3,1,4,4,3,4,2,2,0,1566,750,1566,1566,2008,1078,144,0,168,9000,488,262500
5,0,1,4,8,18,3,3,1,3,3,3,4,0,0,0,866,0,686,866,1945,329,58,0,42,3880,357,110500
5,1,1,6,8,18,3,3,2,3,3,3,3,2,3,0,1440,352,540,889,1900,0,0,551,0,5000,540,79000
6,1,1,6,6,21,3,3,4,3,4,3,3,2,2,0,1217,288,626,626,1980,0,0,591,28,10762,626,120000
7,2,2,8,6,21,3,3,4,4,4,3,4,2,2,0,2110,463,948,1222,1994,695,0,888,130,8880,253,205000
7,2,2,6,6,17,3,3,1,3,4,3,3,2,1,0,1872,604,1845,1872,1988,929,197,0,39,10400,916,241500
6,1,2,9,8,18,3,3,4,3,2,3,2,6,3,0,1928,440,1020,908,1910,0,0,1020,60,9142,1020,137000
6,2,1,5,6,0,3,3,1,3,3,3,3,2,3,0,1375,451,1367,1375,1954,0,0,0,30,11310,1367,140000
7,2,2,8,6,6,3,3,4,4,4,3,4,2,2,0,1668,500,840,840,2003,0,144,828,68,11317,840,180000
6,2,2,7,6,5,3,3,2,4,4,3,4,2,1,0,2144,389,1444,1444,1958,697,0,700,98,159000,747,277000
3,0,1,6,6,4,3,3,1,3,3,3,2,0,0,0,1306,0,728,1306,1940,0,263,0,0,5350,728,76500
8,2,2,5,8,7,3,3,1,4,4,3,4,2,1,0,1625,538,1573,1625,2006,1573,123,0,0,4750,0,235000
6,2,2,6,6,21,3,3,4,4,4,3,4,2,2,0,1640,520,798,798,2004,0,138,842,45,8366,798,173000
6,1,2,7,6,0,3,3,8,3,4,3,4,2,2,0,1302,309,1302,1302,1964,270,333,0,0,9350,452,158000
5,1,1,5,6,0,3,3,1,3,3,3,3,2,2,0,1314,294,1314,1314,1957,922,250,0,0,8400,392,145000
7,2,2,8,6,9,3,3,4,4,4,3,4,4,1,0,2291,429,975,1005,1999,0,192,1286,0,8738,975,230000
6,2,2,7,3,22,3,3,4,4,4,3,4,2,2,0,1728,673,864,864,2003,503,216,864,56,8791,361,207500
7,2,2,8,6,6,3,3,1,4,4,3,4,2,2,0,1604,660,1604,1604,2006,1334,123,0,110,8814,270,220000
7,2,2,7,6,6,3,3,4,4,4,3,4,2,2,0,1792,564,963,963,2001,361,0,829,96,12435,602,231500
5,1,1,4,8,18,3,3,1,3,0,0,3,6,3,0,882,308,0,882,1956,0,0,0,45,12702,0,97000
6,2,1,6,6,0,1,3,8,3,3,3,3,2,3,0,1382,884,1362,1382,1962,672,0,0,0,19296,0,176000
8,3,2,10,6,6,3,3,4,4,5,3,5,4,1,0,2574,868,1482,1482,2007,0,0,1092,148,9588,1482,276000
6,2,1,6,6,20,3,3,8,3,4,4,3,2,3,0,1212,492,506,1212,1977,506,292,0,12,8471,0,151000
5,2,1,6,8,18,3,3,2,3,3,3,3,6,3,0,1316,484,926,926,1929,234,0,0,0,5500,0,130000
5,2,1,4,8,18,1,3,1,3,2,3,3,6,3,0,764,504,680,764,1925,0,0,0,0,5232,680,73000
6,2,2,7,6,17,3,3,1,3,4,3,4,2,1,0,1422,576,1422,1422,1981,588,276,0,0,12090,606,175500
6,2,2,8,6,9,3,3,4,3,4,3,3,2,1,0,1511,413,802,802,1997,714,95,709,75,11207,88,185000
5,1,2,8,6,19,3,3,5,3,3,3,4,6,3,0,2192,240,720,1052,1939,378,262,720,24,8400,342,179500
5,1,1,4,8,10,3,3,1,3,3,3,3,6,1,0,778,924,740,778,1940,403,0,0,25,6900,212,120500
6,1,1,6,6,8,3,3,1,3,3,4,3,2,2,0,1113,504,1143,1113,1976,751,370,0,30,7917,392,148000
8,3,2,8,3,22,3,3,4,4,4,3,4,2,2,0,1939,1053,1095,1095,2006,0,192,844,51,10728,1095,266000
7,2,1,5,6,5,3,3,1,3,4,3,3,2,3,0,1363,439,1385,1363,1954,226,81,0,0,39104,96,241500
8,3,2,9,6,14,3,3,4,4,4,3,4,2,1,0,2270,671,1152,1164,1999,524,132,1106,57,11764,628,290000
6,1,2,6,6,0,2,3,1,3,3,3,3,2,2,0,1632,338,1240,1632,1958,620,289,0,0,9600,0,139000
5,1,1,5,6,12,3,3,1,3,3,3,3,2,3,0,816,264,816,816,1982,546,168,0,0,8314,270,124500
7,2,2,5,6,4,3,3,2,4,3,3,5,6,3,0,1548,672,952,952,1925,0,74,596,0,7264,952,205000
7,2,2,7,6,12,3,3,1,4,5,3,4,2,1,0,1560,573,1560,1560,2003,0,100,0,150,9196,1560,201000
4,2,1,4,6,9,3,3,1,3,3,3,3,6,3,0,864,400,864,864,1951,120,0,0,0,19138,744,141000
9,3,2,8,6,16,3,3,1,5,5,3,5,2,1,0,2121,732,2121,2121,2006,0,124,0,98,14450,2121,415298
7,2,2,8,6,5,3,3,4,3,4,3,3,2,1,0,2022,505,1160,1156,1977,392,288,866,117,10005,768,192000
7,2,2,7,6,21,3,3,4,4,4,3,4,2,1,0,1982,575,807,1175,1989,421,0,807,84,11287,386,228500
6,2,2,5,3,22,3,3,1,4,4,3,4,2,1,0,1262,572,1262,1262,2006,905,0,0,120,7200,357,185000
7,2,2,6,6,16,3,3,1,4,4,3,4,2,2,0,1314,626,1314,1314,2007,904,172,0,62,5063,410,207500
8,3,2,6,6,22,2,3,1,4,4,3,4,2,1,0,1468,898,1468,1468,2008,0,210,0,150,9612,1468,244600
6,2,2,5,6,21,3,3,1,4,4,3,4,2,2,0,1575,529,1575,1575,1992,430,0,0,0,8012,1145,179200
7,2,2,5,3,22,3,3,4,4,4,3,4,6,2,0,1250,528,625,625,2006,0,0,625,54,4251,625,164700
6,2,1,7,6,0,3,3,2,3,3,3,4,2,2,0,1734,440,912,1085,1962,600,0,649,0,9786,312,159000
4,0,1,5,6,0,3,3,1,3,3,3,3,0,0,0,858,0,858,858,1971,614,0,0,0,8125,244,88000
5,1,1,5,6,20,3,3,1,3,3,3,3,6,3,0,900,280,882,900,1967,450,0,0,0,9819,432,122000
6,1,1,7,6,4,5,3,4,3,3,3,3,6,3,0,1396,384,698,698,1915,0,0,698,0,8730,698,153575
8,2,2,8,6,6,3,3,4,4,4,3,4,2,2,0,1919,685,1079,1079,2006,0,0,840,51,15611,1079,233230
5,0,2,9,6,19,3,3,4,3,3,2,2,0,0,0,1716,0,780,936,1912,210,0,780,184,5687,570,135900
5,1,1,8,6,8,3,3,2,3,3,3,3,2,3,0,1716,281,768,1148,1949,292,0,568,0,11409,476,131000
7,2,2,9,6,17,7,3,4,3,3,3,4,2,1,0,2263,539,795,1468,1977,795,0,795,250,16659,0,235000
6,2,1,7,6,0,3,3,1,3,3,3,3,2,1,0,1644,418,1416,1644,1953,1285,110,0,0,9600,131,167000
6,2,1,6,6,12,3,3,8,3,3,3,3,6,3,0,1003,588,1003,1003,1984,819,120,0,0,7937,184,142500
5,1,1,6,8,10,3,3,2,3,3,3,3,2,3,0,1558,282,910,910,1950,420,289,648,0,13710,490,152000
7,2,2,7,3,22,3,3,4,4,4,3,4,6,2,0,1950,576,975,975,1997,649,0,975,10,7399,326,239000
6,2,1,7,6,17,3,3,4,4,3,3,3,2,3,0,1743,539,702,1041,1968,384,224,702,0,11700,143,175000
6,1,1,6,6,7,3,3,1,3,3,3,4,2,3,0,1152,300,1092,1152,1950,0,0,0,36,14000,1092,158500
5,1,1,5,6,7,3,3,1,3,3,3,3,2,3,0,1336,375,1165,1336,1953,841,0,0,0,15750,324,157000
8,2,2,9,6,6,3,3,4,4,4,3,4,4,1,0,2452,683,1028,1210,1998,281,208,1242,50,16226,747,267000
7,3,2,6,6,6,3,3,1,4,4,3,4,2,2,0,1541,843,1541,1541,2001,0,468,0,81,13704,1541,205000
5,2,1,5,6,6,3,3,1,3,3,3,3,2,3,0,894,552,894,894,1972,894,256,0,0,9800,0,149900
7,3,3,10,8,18,3,3,5,3,3,3,4,2,3,0,3493,870,1470,1675,1880,0,302,1818,0,18386,1470,295000
8,3,2,8,6,6,3,3,1,4,4,3,4,2,1,0,2000,888,2000,2000,2004,1464,168,0,0,10386,536,305900
7,3,2,8,6,21,2,3,4,4,4,3,4,2,2,0,2243,746,700,1122,1990,700,127,1121,44,13474,0,225000
6,0,1,6,8,10,1,3,2,3,3,3,2,0,0,0,1406,0,319,1035,1920,0,0,371,144,7920,319,89500
4,2,1,4,6,8,3,3,1,3,3,3,3,6,3,0,861,539,861,861,1940,262,158,0,0,12342,599,82500
9,3,2,8,6,16,3,3,1,4,5,3,5,2,1,0,1944,708,1896,1944,2003,1274,208,0,175,12378,622,360000
6,2,2,6,6,9,3,3,4,3,4,3,4,2,1,0,1501,420,697,697,1993,518,190,804,63,7685,179,165600
6,1,1,5,6,0,3,3,1,3,3,3,3,6,3,0,972,240,972,972,1948,680,0,0,0,8000,292,132000
5,2,1,5,8,18,1,3,2,3,4,3,3,6,3,0,1118,410,793,793,1939,507,0,325,0,7800,286,119900
7,2,2,8,6,24,3,3,1,3,4,3,3,2,2,0,2036,513,2136,2036,1965,1236,0,0,0,215245,80,375000
7,2,1,6,8,18,3,3,4,3,3,4,5,6,3,0,1641,546,728,832,1925,16,0,809,0,9600,712,178000
7,2,2,6,6,9,3,3,4,4,4,3,4,2,1,0,1432,432,716,716,2004,425,100,716,51,7795,291,188500
7,2,2,10,6,17,3,3,4,4,4,3,5,2,2,0,2353,484,845,1153,1980,692,288,1200,195,13005,153,260000
8,3,2,8,3,22,3,3,4,4,4,3,4,2,2,0,1959,1025,1088,1088,2006,0,208,871,46,9000,1088,270000
7,3,2,9,6,14,3,3,4,4,4,3,4,2,2,0,2646,656,1347,1372,1993,987,340,1274,60,9900,360,260000
7,2,2,6,6,17,3,3,8,3,4,3,3,2,3,0,1472,588,1372,1472,1980,1036,233,0,48,14115,336,187500
9,3,3,9,6,16,3,3,4,3,5,4,4,2,2,0,2596,840,1249,1249,2006,0,240,1347,154,16259,1249,342643
8,3,2,10,6,16,3,3,4,4,5,3,4,4,1,0,2468,872,1136,1136,2004,970,184,1332,154,12099,166,354000
7,2,2,8,6,21,3,3,4,4,3,3,4,2,1,0,2730,576,1502,1553,1986,28,201,1177,96,10380,0,301000
3,1,1,6,8,18,3,3,1,3,3,3,3,2,3,0,1163,220,1162,1163,1955,256,142,0,98,5820,906,126175
7,2,2,11,6,0,6,3,8,4,4,3,4,4,1,0,2978,564,710,1898,1967,0,240,1080,0,11275,710,242000
5,2,1,5,8,10,9,3,3,3,3,3,3,6,3,0,803,360,720,803,1941,116,0,0,0,5000,604,87000
8,2,1,6,6,25,3,3,1,4,4,3,4,2,1,0,1719,473,1719,1719,1993,1619,122,0,30,10846,100,324000
6,1,1,7,6,0,3,3,1,3,3,3,3,2,2,0,1383,292,1383,1383,1960,565,0,0,45,11600,818,145250
6,2,2,10,6,4,6,3,6,3,3,3,4,6,3,0,2134,441,844,1445,1916,0,0,689,60,11888,844,214500
5,1,1,6,8,10,3,3,4,3,3,3,3,6,3,0,1192,189,596,596,1920,0,0,596,0,6402,596,78000
5,1,2,10,6,0,3,3,1,3,3,3,3,6,3,0,1728,352,1728,1728,1964,40,155,0,0,10624,1424,119000
5,1,1,6,6,0,3,3,1,3,3,3,3,2,2,0,1056,308,1056,1056,1958,846,0,0,0,8176,210,139000
8,3,2,7,6,16,3,3,1,4,4,3,4,2,2,0,1629,880,3206,1629,2003,1124,0,0,0,10655,1603,284000
7,2,2,6,8,16,3,3,1,4,4,3,4,2,2,0,1358,484,1358,1358,2004,720,192,0,30,8198,638,207000
6,2,2,7,6,9,3,3,4,3,4,3,3,2,1,0,1638,472,943,943,1998,828,100,695,38,9042,115,192000
5,2,2,7,6,24,3,3,2,3,3,3,3,2,1,0,1786,529,1499,1619,1965,1249,670,167,0,164660,103,228950
9,3,2,8,6,23,3,3,1,4,5,3,4,2,1,0,1922,676,1922,1922,2005,1249,178,0,51,14157,673,377426
7,2,2,7,6,6,3,3,1,4,4,3,4,2,2,0,1536,532,1536,1536,2002,810,192,0,74,9135,726,214000
7,2,2,8,6,17,3,3,1,4,4,3,4,2,2,0,1621,440,1208,1621,1984,213,108,0,45,14145,995,202500
6,1,1,6,6,0,2,3,1,3,3,2,3,2,3,0,1215,297,1215,1215,1958,585,0,0,0,12400,630,155000
8,2,2,9,6,24,3,3,4,4,4,3,4,2,1,0,1908,431,967,993,2002,0,135,915,0,14191,967,202900
4,1,1,4,5,21,2,3,1,2,3,2,3,5,3,0,841,294,721,841,1950,0,250,0,0,8400,721,82000
3,2,2,6,6,0,3,3,1,3,0,0,3,6,3,0,1040,400,0,1040,1949,0,0,0,0,8544,0,87500
9,2,2,6,6,16,3,3,1,5,5,3,5,2,2,0,1684,564,1684,1684,2005,28,495,0,72,8849,1656,266000
5,1,1,4,8,11,3,3,4,3,4,3,3,2,3,0,1112,336,536,536,1976,129,182,576,0,2592,175,85000
6,1,1,6,6,4,5,3,2,3,3,3,2,6,3,0,1577,312,972,972,1939,0,0,605,0,6435,972,140200
6,1,1,5,6,0,3,3,1,3,3,3,3,2,2,0,958,301,958,958,1960,498,0,0,0,12772,460,151500
6,2,2,6,6,0,3,3,1,3,3,3,3,2,3,0,1478,498,1478,1478,1960,1270,0,0,40,17600,208,157500
7,2,2,6,6,16,3,3,4,4,4,3,4,4,2,0,1626,474,764,764,2003,573,0,862,27,2448,191,154000
9,3,2,10,6,16,3,3,4,5,5,3,5,2,1,0,2728,706,1848,1848,2005,1410,0,880,0,20431,438,437154
9,2,2,6,6,16,3,3,1,5,5,3,5,2,2,0,1869,617,1869,1869,2007,0,210,0,54,7820,1869,318061
7,2,1,6,6,5,3,3,1,3,4,3,4,2,2,0,1453,445,1453,1453,1986,1082,0,0,80,5271,371,190000
5,1,1,5,6,8,1,3,2,3,3,2,3,6,3,0,1111,200,616,616,1941,236,48,495,0,9084,0,95000
6,2,1,5,8,18,3,3,1,3,3,3,3,6,3,0,720,484,624,720,1928,0,106,0,0,8520,624,105900
6,1,1,6,6,19,3,3,2,3,3,3,3,2,3,0,1595,240,940,1192,1940,388,0,403,0,8400,552,140000
6,2,2,6,6,6,3,3,1,4,4,4,4,2,2,0,1200,521,1200,1200,1995,334,0,0,26,11249,322,177500
6,2,2,6,6,9,3,3,1,3,4,3,4,2,2,0,1167,400,1158,1167,1992,560,120,0,26,9248,598,173000
5,2,1,6,8,11,3,3,1,3,4,3,3,2,1,0,1142,528,1142,1142,1976,874,536,0,90,4224,268,134000
5,1,1,6,6,5,3,3,8,3,3,3,4,4,3,0,1352,288,1062,1352,1958,300,168,0,0,6930,468,130000
8,2,2,7,6,14,3,3,4,4,4,3,4,2,2,0,1924,592,1086,1086,1998,956,208,838,75,12011,130,280000
6,2,1,5,6,12,3,3,7,3,4,3,3,2,2,0,912,470,888,912,1978,773,0,0,0,7540,115,156000
5,1,1,8,6,4,3,3,2,3,3,3,3,6,3,0,1505,240,883,988,1940,399,0,517,0,9144,484,145000
7,2,3,7,6,8,3,3,7,4,0,0,4,4,2,0,1922,672,0,495,2003,0,0,1427,0,7301,0,198500
6,1,1,5,8,3,3,3,4,3,3,3,4,6,3,0,987,264,483,483,1972,162,250,504,0,1680,321,118000
6,2,2,6,6,17,3,3,4,3,4,3,3,2,1,0,1574,566,796,790,1976,712,306,784,111,18800,84,190000
5,1,1,6,8,10,3,3,4,3,3,2,3,6,3,0,1344,468,672,672,1920,456,0,672,128,10690,216,147000
6,2,1,6,6,0,3,3,1,3,4,3,3,2,2,0,1394,514,1394,1394,1963,609,0,0,76,9500,785,159000
6,1,1,6,6,0,3,3,8,3,4,3,3,3,2,0,1431,296,1099,1431,1962,371,64,0,110,9150,728,165000
5,1,1,7,6,0,3,3,1,3,3,3,3,2,1,0,1268,244,1268,1268,1954,540,0,0,98,7800,728,132000
5,2,1,7,6,0,3,3,1,3,3,3,4,6,1,0,1287,576,1063,1287,1959,72,364,0,17,9830,733,162000
6,2,2,7,6,9,3,3,4,3,4,3,3,2,2,0,1664,460,953,953,2000,0,100,711,40,8121,953,172400
4,2,2,7,6,5,2,3,2,3,0,0,3,6,1,0,1588,680,0,1120,1959,0,0,468,59,17120,0,134432
6,1,1,4,6,21,3,3,1,3,4,3,3,2,3,0,752,264,744,752,1984,623,353,0,0,7175,0,125000
5,1,1,5,6,0,3,3,1,3,3,3,3,2,3,0,1319,270,608,1319,1953,428,66,0,0,10634,0,123000
7,2,2,8,6,6,3,3,4,4,4,3,4,4,1,0,1928,434,847,847,2003,0,100,1081,48,8200,847,219500
1,0,0,4,6,8,3,3,1,2,2,1,2,0,0,0,904,0,683,904,1922,350,0,0,0,10020,333,61000
5,2,1,5,6,6,3,3,7,4,4,3,3,6,3,0,914,576,870,914,1996,298,0,0,0,8846,572,148000
8,2,3,8,3,22,3,3,4,4,4,3,4,2,2,0,2466,610,1580,1580,2004,0,159,886,214,11143,1580,340000
9,3,1,8,6,23,3,3,1,4,5,3,5,2,1,0,1856,834,1856,1856,2010,1445,113,0,0,11394,411,394432
6,2,2,7,6,9,5,3,4,3,4,3,3,2,1,0,1800,463,982,1007,2000,0,100,793,63,8123,982,179000
5,1,2,6,6,19,3,3,2,3,3,3,4,6,3,0,1691,308,1026,1026,1924,218,0,665,0,5000,808,127000
7,2,2,5,3,22,3,3,1,4,4,4,4,2,2,0,1301,572,1293,1301,2006,0,216,0,121,7200,1293,187750
7,2,2,8,6,6,3,3,4,4,4,3,4,2,2,0,1797,639,939,939,2006,0,144,858,53,9245,939,213500
6,2,1,5,5,21,3,3,3,3,2,2,3,6,3,0,784,360,784,784,1928,0,0,0,0,9000,784,76000
6,2,2,9,6,5,2,3,4,4,4,3,4,2,1,0,1953,501,1580,1079,1992,985,216,874,231,53107,595,240000
8,2,2,6,6,1,3,3,1,4,4,3,4,2,1,0,1269,430,1256,1269,2004,24,146,0,20,3182,1232,192000
5,0,1,8,6,8,2,3,2,3,3,3,3,0,0,0,1184,0,658,658,1910,0,0,526,151,8410,658,81000
6,1,1,6,6,8,3,3,8,3,3,3,3,6,3,0,1125,352,1041,1125,1976,631,296,0,0,7200,410,125000
7,2,2,6,6,6,3,3,1,4,4,3,4,2,2,0,1479,577,1468,1479,1999,0,120,0,25,9382,1468,191000
10,3,2,9,6,16,3,3,4,5,5,3,5,4,1,0,2332,846,1682,1742,2007,1280,196,590,134,12474,402,426000
5,1,1,7,6,8,3,3,2,3,3,4,3,6,3,0,1367,384,861,961,1900,241,0,406,130,8405,229,119000
6,2,2,7,6,12,3,3,4,3,5,3,4,4,1,0,1961,560,804,804,2001,690,125,1157,192,12209,114,215000
5,1,1,5,6,0,3,3,1,3,0,0,3,2,2,0,882,294,0,882,1959,0,0,0,0,8339,0,106500
4,0,1,4,6,4,2,3,1,3,3,3,3,0,0,0,788,0,788,788,1941,266,0,0,0,7446,522,100000
5,1,1,5,6,18,3,3,2,3,3,3,3,6,3,0,1034,240,735,735,1940,0,0,299,39,10134,735,109000
5,1,1,6,6,8,3,3,1,3,3,3,3,2,3,0,1144,596,1144,1144,1956,739,44,0,0,9571,405,129000
5,2,1,6,6,6,3,3,1,3,3,3,3,6,2,0,894,600,894,894,1972,777,215,0,0,7200,117,123000
5,1,2,8,6,0,6,3,4,3,3,3,3,2,2,0,1812,264,864,876,1962,540,0,936,168,7590,324,169500
5,1,1,6,8,10,3,3,1,3,2,1,3,6,3,0,1077,338,961,1077,1920,0,0,0,0,8967,961,67000
7,2,2,7,3,22,3,3,4,4,4,3,4,2,1,0,1550,438,1092,1112,2006,812,0,438,168,8125,280,241000
8,2,1,4,6,25,3,3,1,4,4,3,5,2,1,0,1288,500,1260,1288,1996,786,120,0,30,14963,474,245500
7,2,2,6,6,6,3,3,1,4,4,3,4,2,1,0,1310,400,1310,1310,2005,24,0,0,0,8767,1286,164990
5,1,1,4,6,20,3,3,1,3,3,3,3,6,3,0,672,240,672,672,1940,0,168,0,0,10200,672,108000
8,2,2,10,6,14,3,3,4,4,4,3,4,4,1,0,2263,420,1141,1165,1998,0,144,1098,123,12090,1141,258000
6,2,2,7,6,9,3,3,4,3,4,3,3,4,1,0,1572,373,806,806,1995,0,0,766,40,10364,806,168000
4,2,2,8,6,20,2,3,1,3,3,3,3,2,3,0,1620,490,1281,1620,1976,1116,120,0,78,9991,165,150000
6,1,1,6,6,19,3,3,2,3,3,3,3,6,3,0,1639,240,1064,1166,1936,0,0,0,0,10480,1064,115000
6,1,2,8,6,7,3,3,4,3,4,3,3,2,3,0,1680,308,840,840,1915,0,0,840,0,15576,840,177000
7,3,2,9,6,16,3,3,4,4,5,4,4,2,2,0,2172,947,1063,1071,2006,0,192,1101,62,14154,1063,280000
8,3,2,8,3,22,3,3,4,4,5,3,5,2,1,0,2078,836,1034,1050,2007,789,0,1028,102,10800,245,339750
5,1,1,5,6,8,3,3,1,3,3,2,3,2,3,0,1276,350,1276,1276,1958,0,0,0,0,9571,1276,60000
5,2,1,5,6,9,3,3,1,3,3,3,3,2,1,0,1056,572,1056,1056,1955,1056,264,0,0,34650,0,145000
7,2,2,7,3,22,3,3,1,5,5,3,4,2,1,0,1478,484,1470,1478,2009,578,0,0,144,4403,892,222000
5,2,1,5,8,18,1,3,1,3,3,3,3,6,3,0,1028,360,1008,1028,1927,0,0,0,0,8960,1008,115000
7,3,2,9,6,21,3,3,4,4,4,3,4,2,3,0,2097,678,1080,1080,1993,50,196,1017,187,11228,499,228000
7,2,2,6,6,9,3,3,1,4,4,3,4,2,1,0,1340,396,1340,1340,2007,24,100,0,30,8899,1316,181134
6,2,1,6,6,20,3,3,4,3,3,3,3,2,1,0,1400,440,672,672,1978,209,0,728,0,7844,463,149500
6,3,2,10,6,7,2,3,4,3,4,3,3,6,3,0,2624,864,1370,1370,1918,1128,0,1254,0,22420,242,239000
5,1,1,7,6,8,3,3,2,3,3,3,3,6,3,0,1134,240,756,756,1940,312,0,378,0,8160,444,126000
5,1,1,6,6,0,3,3,1,3,3,3,3,2,3,0,1056,304,1056,1056,1968,775,0,0,85,8450,281,142000
7,4,2,8,8,12,3,3,7,3,4,4,3,2,1,0,1344,784,1344,1344,1997,1309,0,0,0,7060,35,206300
6,2,2,8,6,17,3,3,1,4,4,3,4,2,1,0,1602,529,1602,1602,1977,1246,240,0,0,16635,356,215000
5,2,1,4,6,12,1,3,1,3,3,3,3,2,2,0,988,520,988,988,1954,0,0,0,0,21750,988,113000
8,3,2,8,6,14,3,3,4,4,4,3,4,2,1,0,2630,696,1470,1470,1998,986,0,1160,66,9200,484,315000
6,1,1,6,6,0,3,3,1,3,4,3,3,2,2,0,1196,297,1196,1196,1956,616,0,0,44,9000,580,139000
7,1,1,6,8,18,3,3,4,3,3,3,3,6,3,0,1389,240,651,707,1946,0,0,682,0,3378,651,135000
7,2,2,5,6,21,3,3,8,4,4,3,4,2,1,0,1644,569,1518,1644,1989,1518,80,0,0,12800,0,275000
4,1,1,5,6,0,3,3,1,3,3,3,3,6,3,0,907,352,907,907,1957,288,0,0,0,8593,619,109008
7,2,2,6,6,6,3,3,1,4,4,3,4,2,2,0,1208,628,1208,1208,2007,664,105,0,54,6762,544,195400
6,2,2,6,6,24,3,3,1,3,4,3,4,2,3,0,1412,576,1392,1412,1988,1005,0,0,0,11457,387,175000
6,1,1,4,8,3,3,3,4,3,3,3,3,6,3,0,987,264,483,483,1971,387,0,504,0,1680,96,85400
6,0,1,7,8,18,2,3,2,3,3,3,3,0,0,0,1198,0,901,1088,1920,0,0,110,98,5586,901,79900
5,2,1,6,8,3,3,3,4,3,3,3,3,6,3,0,1365,440,765,765,1971,471,240,600,36,1920,294,122500
6,2,2,7,6,9,3,3,4,3,4,3,3,2,1,0,1604,470,926,926,1997,0,0,678,36,10839,926,181000
4,0,1,3,8,11,3,3,7,3,4,3,3,0,0,0,630,0,630,630,1972,495,88,0,0,1890,135,81000
7,2,2,6,6,6,6,3,4,4,4,3,4,2,2,0,1661,550,799,827,1996,385,158,834,61,10667,70,212000
6,2,1,6,8,18,3,3,2,3,2,3,3,6,3,0,1118,440,648,734,1920,0,0,384,0,4400,648,116000
6,1,1,4,8,4,3,3,3,4,3,3,3,6,3,0,904,180,884,904,1926,0,0,0,0,6000,884,119000
5,1,1,4,6,7,3,3,1,3,3,3,4,6,3,0,694,352,440,694,1913,365,0,0,0,4280,75,90350
6,2,1,7,6,8,3,3,2,3,3,2,4,6,3,0,1196,528,684,684,1920,0,0,512,46,12354,684,110000
10,3,2,10,6,16,3,3,1,5,5,3,5,2,1,0,2402,672,3094,2402,2008,1767,0,0,72,15431,788,555000
4,0,2,8,6,8,3,3,1,3,3,3,2,0,0,0,1440,0,1440,1440,1955,133,0,0,0,12108,1307,118000
5,2,2,8,8,4,3,3,2,3,3,3,3,6,3,0,1573,360,1078,1128,1930,0,0,445,0,6240,1078,162900
7,3,2,6,6,1,3,3,1,4,5,3,4,2,1,0,1258,648,1258,1258,2006,0,144,0,16,3922,1258,172500
7,2,2,8,6,6,3,3,4,4,4,3,4,2,3,0,1908,493,915,933,1994,642,144,975,133,8750,273,210000
